SERVICE,Task Name,Category,Task Description,Frequency,Task Type,Automated (Y/N),Notes,Source,Documentation Link
Azure Governance,Chargeback,Subscription Management,Manage costs and create showback and chargeback reports,Monthly,,,,,
Azure Governance,Costing model definition,Subscription Management,Define your costing model to be able to define reporting and charges.,Yearly,,,,,
Azure Governance,Trending of costing for capacity/growth,Subscription Management,Use costs reports for trending and usage growth,Monthly,,,,,
Azure Governance,Define resource groups,Subscription Management,How to define a resource group,As Required,,,,,
Azure Governance,Manage resource groups,Subscription Management,Manage resource group from Azure portal,As Required,,,,,
Azure Internet of Things (IoT),Configure automated message routing,Azure Services: Azure IoT Hub,How to configure IoT Hub message routing,As Required,,,,,https://docs.microsoft.com/en-us/azure/iot-hub/tutorial-routing
Azure Internet of Things (IoT),Configure your devices from a back-end service,Azure Services: Azure IoT Hub,How to configure devices from a back-end service,As Required,,,,,https://docs.microsoft.com/en-us/azure/iot-hub/tutorial-device-twins
Azure Internet of Things (IoT),Implement a device firmware update process,Azure Services: Azure IoT Hub,How to implement a device firmware update process,As Required,,,,,https://docs.microsoft.com/en-us/azure/iot-hub/tutorial-firmware-update
Azure Internet of Things (IoT),Use a simulated device to test connectivity with your IoT hub,Azure Services: Azure IoT Hub,How to use a simulated device to test connectivity with your IoT hub,As Required,,,,,https://docs.microsoft.com/en-us/azure/iot-hub/tutorial-connectivity#check-twin-synchronization
Azure Messaging Services,Event Grid,,,As Required,,,,,
Azure Messaging Services,Event Hubs,,,As Required,,,,,
Azure Messaging Services,Service Bus,,,As Required,,,,,
Azure Monitoring & Management,Find and diagnose run-time exceptions,Data & Analytics: Application Insights,How to find and diagnose run-time exceptions with Azure Application Insights,As Required,,,,,https://docs.microsoft.com/en-us/azure/azure-monitor/learn/tutorial-runtime-exceptions
Azure Monitoring & Management,Find and diagnose performance issues,Data & Analytics: Application Insights,How to Find and diagnose performance issues with Azure Application Insights,As Required,,,,,https://docs.microsoft.com/en-us/azure/azure-monitor/learn/tutorial-performance
Azure Monitoring & Management,Monitor and alert on application health ,Data & Analytics: Application Insights,How to monitor and alert on application health with Azure Application Insights,Continuous,,,,,https://docs.microsoft.com/en-us/azure/azure-monitor/learn/tutorial-alert
Azure Monitoring & Management,Analyze customer usage and information,Data & Analytics: Application Insights,Use Azure Application Insights to understand how customers are using your application,Monthly,,,,,https://docs.microsoft.com/en-us/azure/azure-monitor/learn/tutorial-users
Azure Monitoring & Management,Create custom KPI dashboards,Data & Analytics: Application Insights,How to create custom KPI dashboards using Azure Application Insights,As Required,,,,,https://docs.microsoft.com/en-us/azure/azure-monitor/learn/tutorial-app-dashboards
Azure Monitoring & Management,Create Workspace,Data & Analytics: Log Analytics,How to create a Log Analytics workspace in the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/log-analytics/log-analytics-quick-create-workspace
Azure Monitoring & Management,Configure collection of monitoring data,Data & Analytics: Log Analytics,How to collect Azure resource logs in Log Analytics workspace in Azure Monitor,As Required,,,,,https://docs.microsoft.com/en-us/azure/azure-monitor/platform/resource-logs-collect-workspace
Azure Monitoring & Management,Analyze and visualize data,Data & Analytics: Log Analytics,How to create and share dashboards of Log Analytics data,As Required,,,,,https://docs.microsoft.com/en-us/azure/azure-monitor/learn/tutorial-logs-dashboards
Azure Monitoring & Management,Create alerts,Data & Analytics: Log Analytics,"How to create, view, and manage metric alerts using Azure Monitor",As Required,,,,,https://docs.microsoft.com/en-us/azure/monitoring-and-diagnostics/monitor-alerts-unified-usage
Azure Monitoring & Management,Create an Automation Account,Data & Analytics: Automation,How to create an Azure Automation account,As Required,,,,,https://docs.microsoft.com/en-us/azure/automation/automation-quickstart-create-account
Azure Monitoring & Management,Create Runbooks,Data & Analytics: Automation,How to create an Azure Automation runbook,As Required,,,,,https://docs.microsoft.com/en-us/azure/automation/automation-quickstart-create-runbook
Azure Monitoring & Management,Manage Automation Assets (Manage Shared Resources),Data & Analytics: Automation,"Manage Certificates, Connections, Credentials, Integration Modules, Schedules, Variables, Updates for Azure PowerShell modules",Weekly,,,,,"https://docs.microsoft.com/en-us/azure/automation/shared-resources/certificates
https://docs.microsoft.com/bs-latn-ba/Azure/automation/automation-connections
https://docs.microsoft.com/en-us/azure/automation/shared-resources/credentials
"
Azure Monitoring & Management,Monitor Automation,Data & Analytics: Automation,Forward job status and job streams from Automation to Azure Monitor Logs,Continuous,,,,,https://docs.microsoft.com/en-us/azure/automation/automation-manage-send-joblogs-log-analytics
Azure Monitoring & Management,Back up Azure VMs at scale,Data & Analytics: Backup,Use Azure portal to back up multiple virtual machines,As Required,,,,,https://docs.microsoft.com/en-us/azure/backup/tutorial-backup-vm-at-scale
Azure Monitoring & Management,Restore a disk,Data & Analytics: Backup,Restore a disk and create a recovered VM in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/backup/tutorial-restore-disk
Azure Monitoring & Management,Restore individual files,Data & Analytics: Backup,Restore files to a virtual machine in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/backup/tutorial-restore-files
Azure Monitoring & Management,Back up Windows Server,Data & Analytics: Backup,Back up Windows Server to Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/backup/tutorial-backup-windows-server-to-azure
Azure Monitoring & Management,Restore files to Windows Server,Data & Analytics: Backup,Recover files from Azure to a Windows Server,As Required,,,,,https://docs.microsoft.com/en-us/azure/backup/tutorial-backup-restore-files-windows-server
Azure Monitoring & Management,Set up disaster recovery,Data & Analytics: Site Recovery,Set up disaster recovery for Azure VMs or On premise VMs,As Required,,,,,https://docs.microsoft.com/en-us/azure/site-recovery/azure-to-azure-tutorial-enable-replication
Azure Monitoring & Management,Run a disaster recovery drill,Data & Analytics: Site Recovery,Run a disaster recovery drill for Azure VMs or from On premise to Azure,Annually,,,,,https://docs.microsoft.com/en-us/azure/site-recovery/azure-to-azure-tutorial-dr-drill
Azure Monitoring & Management,Run failover and failback,Data & Analytics: Site Recovery,Fail over and fail back Azure VMs between Azure regions or Fail over and fail back VMware VMs and physical servers replicated to Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/site-recovery/azure-to-azure-tutorial-failover-failback
Azure Monitoring & Management,Configure Alerts,Data & Analytics: Azure Monitor,"Configure alerts in Azure portal, with CLI, Azure PowerShell, webhooks",As Required,,,,,https://docs.microsoft.com/en-us/azure/monitoring-and-diagnostics/monitor-alerts-unified-usage
Azure Monitoring & Management,Autoscale based on schedule or application performance,Data & Analytics: Azure Monitor,Create and manage Autoscale Settings for Azure resources based on performance data or a schedule,As Required,,,,,https://docs.microsoft.com/en-us/azure/monitoring-and-diagnostics/monitor-tutorial-autoscale-performance-schedule
Azure Monitoring & Management,Archive monitoring data,Data & Analytics: Azure Monitor,Archive Azure monitoring data to an Azure Storage Account,As Required,,,,,https://docs.microsoft.com/en-us/azure/monitoring-and-diagnostics/monitor-tutorial-archive-monitoring-data
Azure Networking,Deploy virtual network,Azure Foundation: Virtual Network,How to deploy a virtual network from Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-portal
Azure Networking,Configure virtual network subnets,Azure Foundation: Virtual Network,Manage Virtual Network Subnets,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-manage-subnet
Azure Networking,Deploy Network Security Groups,Azure Foundation: Virtual Network,How to deploy NSG,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/manage-network-security-group
Azure Networking,Configure NSG,Azure Foundation: Virtual Network,Manage NSG,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/manage-network-security-group
Azure Networking,Deploy application security groups,Azure Foundation: Virtual Network,How to deploy Application Security Groups ,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/manage-network-security-group#work-with-application-security-groups
Azure Networking,Configure application security groups,Azure Foundation: Virtual Network,How to Configure application security groups,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/manage-network-security-group#work-with-application-security-groups
Azure Networking,Create user defined routes,Azure Foundation: Virtual Network,How to create user defined routes,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-udr-overview#custom-routes
Azure Networking,Manage user defined routes,Azure Foundation: Virtual Network,"Manage Azure routes traffic between Azure, on-premises, and Internet resources. ",As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-udr-overview
Azure Networking,Create virtual network peering,Azure Foundation: Virtual Network,How to create virtual network peering,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-manage-peering
Azure Networking,Configure network service endpoints,Azure Foundation: Virtual Network,Manage network service endpoints,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-restrict-network-access-to-resources
Azure Networking,Configure VPN Gateway,Azure Foundation: Virtual Network,How to configure VPN gateway,As Required,,,,,https://docs.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-howto-site-to-site-resource-manager-portal
Azure Networking,Create a circuit,Azure Foundation: Express Route,How to create a circuit,As Required,,,,,https://docs.microsoft.com/en-us/azure/expressroute/expressroute-howto-circuit-portal-resource-manager
Azure Networking,Modify a circuit,Azure Foundation: Express Route,Manage circuits,As Required,,,,,https://docs.microsoft.com/en-us/azure/expressroute/expressroute-howto-circuit-portal-resource-manager
Azure Networking,Create peering configuration,Azure Foundation: Express Route,Manage peering configuration,As Required,,,,,https://docs.microsoft.com/en-us/azure/expressroute/expressroute-howto-routing-portal-resource-manager
Azure Networking,Modify peering configuration,Azure Foundation: Express Route,Manage peering configuration,As Required,,,,,https://docs.microsoft.com/en-us/azure/expressroute/expressroute-howto-routing-portal-resource-manager
Azure Networking,Link a virtual network to an ExpressRoute circuit,Azure Foundation: Express Route,How to link between virtual network and ExpressRoute,As Required,,,,,https://docs.microsoft.com/en-us/azure/expressroute/expressroute-howto-linkvnet-portal-resource-manager
Azure Networking,Link a virtual network gateway for ExpressRoute,Azure Foundation: Express Route,How to link between virtual network gateway and ExpressRoute,As Required,,,,,https://docs.microsoft.com/en-us/azure/expressroute/expressroute-howto-linkvnet-portal-resource-manager
Azure Networking,Configure ExpressRoute and site-to-site coexisting connections,Azure Foundation: Express Route,How to configure ExpressRoute and Site2Site coexisting connections,As Required,,,,,https://docs.microsoft.com/en-us/azure/expressroute/expressroute-howto-coexist-resource-manager
Azure Networking,Configure route filters for Microsoft peering,Azure Foundation: Express Route,How to Configure route filters for Microsoft peering using Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/expressroute/how-to-routefilter-portal
Azure Networking,Configure a router for ExpressRoute,Azure Foundation: Express Route,How to configure a router for ExpressRoute,As Required,,,,,https://docs.microsoft.com/en-us/azure/expressroute/expressroute-config-samples-routing
Azure Networking,Create and manage Load Balancer,Azure Foundation: Load Balancer,Manage a load balancer,As Required,,,,,https://docs.microsoft.com/en-us/azure/load-balancer/tutorial-load-balancer-standard-manage-portal
Azure Networking,Load balance internal traffic to VMs,Azure Foundation: Load Balancer,Manage internal traffic with load balance,As Required,,,,,https://docs.microsoft.com/en-us/azure/load-balancer/tutorial-load-balancer-basic-internal-portal
Azure Networking,Load balance VMs across availability zones,Azure Foundation: Load Balancer,Manage VMs across availability zones with load balance,As Required,,,,,https://docs.microsoft.com/en-us/azure/load-balancer/tutorial-load-balancer-standard-public-zone-redundant-portal
Azure Networking,Load balance VMs within a specific availability zone,Azure Foundation: Load Balancer,Manage VMs within specific availability zone with load balance,As Required,,,,,https://docs.microsoft.com/en-us/azure/load-balancer/tutorial-load-balancer-standard-public-zonal-portal
Azure Networking,Configure port forwarding in Load Balancer,Azure Foundation: Load Balancer,How to configure port forwarding,As Required,,,,,https://docs.microsoft.com/en-us/azure/load-balancer/tutorial-load-balancer-port-forwarding-portal
Azure Networking,Manage web traffic,Azure Foundation: Application Gateway,Manage web traffic with application gateway,,,,,,https://docs.microsoft.com/en-us/azure/application-gateway/tutorial-manage-web-traffic-cli
Azure Networking,Enable web application firewall using the Azure CLI,Azure Foundation: Application Gateway,How to enable web application firewall with Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/application-gateway/tutorial-restrict-web-traffic-cli
Azure Networking,Create an application gateway with SSL termination,Azure Foundation: Application Gateway,How to create application gateway with SSL,As Required,,,,,https://docs.microsoft.com/en-us/azure/application-gateway/tutorial-ssl-cli
Azure Networking,Create an application gateway that hosts multiple web sites,Azure Foundation: Application Gateway,How to create application gateway that will host multiple web sites,As Required,,,,,https://docs.microsoft.com/en-us/azure/application-gateway/tutorial-multiple-sites-cli
Azure Networking,Route web traffic based on the URL,Azure Foundation: Application Gateway,How to route web traffic based on URL,As Required,,,,,https://docs.microsoft.com/en-us/azure/application-gateway/tutorial-url-route-cli
Azure Networking,Create an application gateway with URL path-based redirection,Azure Foundation: Application Gateway,How to create application gateway with URL path-based redirection,As Required,,,,,https://docs.microsoft.com/en-us/azure/application-gateway/tutorial-url-redirect-cli
Azure Networking,Host your domain,Azure Foundation: Azure DNS,How to host your domain with Azure DNS,As Required,,,,,https://docs.microsoft.com/en-us/azure/dns/dns-delegate-domain-azure-dns
Azure Networking,Create DNS records in a custom domain for a web app,Azure Foundation: Azure DNS,How to rebate DNS records in a custom domain for a web app,As Required,,,,,https://docs.microsoft.com/en-us/azure/dns/dns-web-sites-custom-domain
Azure Networking,Create an Azure DNS private zone using Azure PowerShell,Azure Foundation: Azure DNS,How to create an Azure private DNS zone using Azure PowerShell,As Required,,,,,https://docs.microsoft.com/en-us/azure/dns/private-dns-getstarted-powershell
Azure Networking,Add a custom domain to your Azure CDN endpoint,Azure Foundation: Content Delivery Network,How to add a custom domain to your Azure CDN endpoint,As Required,,,,,https://docs.microsoft.com/en-us/azure/cdn/cdn-map-content-to-custom-domain
Azure Networking,Configure HTTPS on an Azure CDN custom domain,Azure Foundation: Content Delivery Network,How to configure HTTPS on Azure CDN custom domain,As Required,,,,,https://docs.microsoft.com/en-us/azure/cdn/cdn-custom-ssl?tabs=option-1-default-enable-https-with-a-cdn-managed-certificate
Azure Networking,Set Azure CDN caching rules,Azure Foundation: Content Delivery Network,How to set Azure CDN caching rules,As Required,,,,,https://docs.microsoft.com/en-us/azure/cdn/cdn-caching-rules-tutorial
Azure Networking,Configure the geographic traffic routing method ,Azure Foundation: Traffic Manager,How to configure the geographic traffic routing method using Traffic Manager,As Required,,,,,https://docs.microsoft.com/en-us/azure/traffic-manager/traffic-manager-configure-geographic-routing-method
Azure Networking,Improve website response,Azure Foundation: Traffic Manager,How to improve website response using Traffic Manager,As Required,,,,,https://docs.microsoft.com/en-us/azure/traffic-manager/tutorial-traffic-manager-improve-website-response
Azure Networking,Configure the weighted traffic routing method,Azure Foundation: Traffic Manager,How to configure the weighted traffic routing method in Traffic Manager,As Required,,,,,https://docs.microsoft.com/en-us/azure/traffic-manager/traffic-manager-configure-weighted-routing-method
Azure Networking,Configure priority traffic routing method ,Azure Foundation: Traffic Manager,How to configure priority traffic routing method in Traffic Manager,As Required,,,,,https://docs.microsoft.com/en-us/azure/traffic-manager/traffic-manager-configure-priority-routing-method
Azure Networking,Diagnose a virtual machine network routing problem,Azure Foundation: Network Watcher,How to diagnose a virtual machine network routing problem using the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/network-watcher/diagnose-vm-network-routing-problem
Azure Networking,Monitor network communication between two virtual machines,Azure Foundation: Network Watcher,How to monitor network communication between two virtual machines using the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/network-watcher/connection-monitor
Azure Networking,Diagnose a communication problem between networks,Azure Foundation: Network Watcher,How to diagnose and resolve a communication problem between networks using the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/network-watcher/diagnose-communication-problem-between-networks
Azure Networking,Log network traffic to and from a virtual machine,Azure Foundation: Network Watcher,How to log network traffic to and from a virtual machine using the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/network-watcher/network-watcher-nsg-flow-logging-portal
Azure Networking,Configure Network Virtual Appliance,Azure Foundation: Network Virtual Appliance (NVA),How to manage network virtual appliance,As Required,,,,,https://docs.microsoft.com/en-us/windows-server/networking/sdn/manage/use-network-virtual-appliances-on-a-vn
Azure Networking,Manage Network Virtual Appliance,Azure Foundation: Network Virtual Appliance (NVA),How to use network virtual appliances on a virtual network,As Required,,,,,https://docs.microsoft.com/en-us/windows-server/networking/sdn/manage/use-network-virtual-appliances-on-a-vn
Azure Networking,Create network interfaces,Azure Foundation: Network Interfaces,How to create a network interface,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-network-interface
Azure Networking,Add network interfaces,Azure Foundation: Network Interfaces,How to add a network interface,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-network-interface-vm
Azure Networking,Deploy and configure Azure Firewall ,Azure Foundation: Azure Firewall,How to deploy and configure Azure firewall,As Required,,,,,https://docs.microsoft.com/en-us/azure/firewall/tutorial-firewall-deploy-portal
Azure Networking,Monitor Azure Firewall logs,Azure Foundation: Azure Firewall,How to monitor Azure firewall logs and matrices,As Required,,,,,https://docs.microsoft.com/en-us/azure/firewall/tutorial-diagnostics
Azure Security & Identity,Onboard your Azure subscription to Security Centre,Azure Foundation: Security Centre,How to onboard your Azure subscription to Security Centre Standard tier,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-get-started
Azure Security & Identity,Automate data collection,Azure Foundation: Security Centre,How to collect data automatically,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-enable-data-collection
Azure Security & Identity,Clean up resources,Azure Foundation: Security Centre,How to clean up resources in the security centre,As Required,,,,,
Azure Security & Identity,Onboard Windows computers to Azure Security Centre,Azure Foundation: Security Centre,How to add managed Windows computers to Azure Security Centre,As Required,,,,,https://docs.microsoft.com/fi-fi/azure/security-center/quick-onboard-windows-computer
Azure Security & Identity,Onboard Linux computers to Azure Security Centre,Azure Foundation: Security Centre,How to add managed Linux computers to Azure Security Centre,As Required,,,,,https://docs.microsoft.com/fi-fi/azure/security-center/quick-onboard-linux-computer
Azure Security & Identity,Connect security solutions to Security Centre,Azure Foundation: Security Centre,How to connect 3rd party solutions to the Azure Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/quick-security-solutions
Azure Security & Identity,Configure security policy,Azure Foundation: Security Centre,How to configure a security policy,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-policies
Azure Security & Identity,Define and assess security policies,Azure Foundation: Security Centre,How to define and assess security policies,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/tutorial-security-policy
Azure Security & Identity,Edit security policies,Azure Foundation: Security Centre,How to edit security policies,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-policies#edit-security-policies
Azure Security & Identity,Harden VMs against malware,Azure Foundation: Security Centre,How to harden VMs against malware,As Required,,,,,https://docs.microsoft.com/ca-es/azure/security-center/tutorial-protect-resources#harden-vms-against-malware
Azure Security & Identity,Enable automatic provisioning of Microsoft Monitoring Agent,Azure Foundation: Security Centre,How to enable automatic provisioning of the Log Analytics Agent ,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-enable-data-collection#enable-automatic-provisioning-of-microsoft-monitoring-agent
Azure Security & Identity,Default workspace configuration,Azure Foundation: Security Centre,Manage Security Centre workspace configuration,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-enable-data-collection#default-workspace-configuration
Azure Security & Identity,Disable automatic provisioning,Azure Foundation: Security Centre,How to disable automatic provisioning in Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-enable-data-collection#disable-automatic-provisioning
Azure Security & Identity,Customize OS security configurations in Azure Security Centre,Azure Foundation: Security Centre,How to edit security configurations for security policies,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-customize-os-security-config
Azure Security & Identity,Integrate Security Centre security policies with Azure Policy,Azure Foundation: Security Centre,,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-azure-policy
Azure Security & Identity,Manage security recommendations in Azure Security Centre,Azure Foundation: Security Centre,Manage security recommendations and score in Azure Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-recommendations
Azure Security & Identity,Monitoring security health - Compute,Azure Foundation: Security Centre,How to remediate compute security recommendations in Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-virtual-machine-recommendations
Azure Security & Identity,Monitoring security health - Virtual Networks,Azure Foundation: Security Centre,How to remediate virtual networks security recommendations in Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-network-recommendations
Azure Security & Identity,Monitoring security health - Storage & data,Azure Foundation: Security Centre,How to remediate storage & data security recommendations in Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-sql-service-recommendations
Azure Security & Identity,Monitoring security health - Applications,Azure Foundation: Security Centre,How to remediate application security recommendations in Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-virtual-machine-recommendations
Azure Security & Identity,Monitoring security health - Identity and Access,Azure Foundation: Security Centre,How to remediate identity and access security recommendations in Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-identity-access
Azure Security & Identity,Integrate security solutions with Azure Security Centre,Azure Foundation: Security Centre,How to integrate Microsoft and partners solutions for monitoring in Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-partner-integration
Azure Security & Identity,Integrate security solutions - data export to SIEM,Azure Foundation: Security Centre,configure your SIEMs or other monitoring tools to receive Azure Security Centre events.,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-export-data-to-siem
Azure Security & Identity,Assess the security of your resources,Azure Foundation: Security Centre,How to protect your resources with Azure Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/tutorial-protect-resources
Azure Security & Identity,Configure a just in time VM access policy,Azure Foundation: Security Centre,Manage virtual machine access using just-in-time,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-just-in-time
Azure Security & Identity,Configure an adaptive application control policy,Azure Foundation: Security Centre,How to configure adaptive application controls to control which applications can run on Azure and non-Azure VMs,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-adaptive-application
Azure Security & Identity,Managing security alerts,Azure Foundation: Security Centre,Manage and respond to security alerts in Azure Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-managing-and-responding-alerts
Azure Security & Identity,Managing security incidents,Azure Foundation: Security Centre,Manage security incidents in Azure Security Centre,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-incident
Azure Security & Identity,Azure Security Centre behavioral analysis,Azure Foundation: Security Centre,"Azure Security Centre can use behavioral analytics to identify compromised resources based on analysis of virtual machine logs, virtual network device logs, fabric logs, crash dumps, and other sources.",As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-alerts-overview#behavioral-analytics
Azure Security & Identity,Create a custom alert rule in Security Centre using Azure Sentinel,Azure Foundation: Security Centre,Use Azure Sentinel to re-create your Azure Security Centre custom alerts. Alternatively you can create these alerts using Azure Monitor,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-custom-alert#how-to-create-a-custom-alert-rule-in-security-center
Azure Security & Identity,Alert validation,Azure Foundation: Security Centre,How to validate alerts raised by Security Centre on your VMs.,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-alert-validation#alert-validation
Azure Security & Identity,Access the threat intelligence,Azure Foundation: Security Centre,How to use the Azure Security Centre security alerts map and security event-based threat intelligence map to address security-related issues.,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/security-center-threat-intel#access-the-threat-intelligence
Azure Security & Identity,Automate security workflows,Azure Foundation: Security Centre,How to use the Workflow automation in Azure Security Centre to automate response to security alerts and recommendations,As Required,,,,,https://docs.microsoft.com/en-us/azure/security-center/workflow-automation
Azure Security & Identity,Investigate further to determine the root cause and scope of a security incident,Azure Foundation: Security Centre,How to Investigate Incidents and Alerts in Azure Security Centre (*to be retired July 2019),As Required,,,,,https://docs.microsoft.com/sl-si/azure/security-center/security-center-investigation?view=azureservicefabricps
Azure Security & Identity,Implement new Key Vault,Azure Foundation: Key Vault,How to implement Azure Key Vault,As Required,,,,,https://docs.microsoft.com/en-us/azure/key-vault/key-vault-get-started
Azure Security & Identity,Add a key or secret to the key vault,Azure Foundation: Key Vault,How to add a key or secret to the Azure key vault,As Required,,,,,https://docs.microsoft.com/en-us/azure/key-vault/quick-create-portal
Azure Security & Identity,Register an application with Entra ID for use with Key Vault,Azure Foundation: Key Vault,How to register an application with Azure AD,As Required,,,,,https://docs.microsoft.com/en-us/azure/architecture/multitenant-identity/key-vault
Azure Security & Identity,Authorize the application to use the key or secret,Azure Foundation: Key Vault,How to use Azure Key Vault with an Azure web app,As Required,,,,,https://docs.microsoft.com/en-us/azure/key-vault/tutorial-net-create-vault-azure-web-app
Azure Security & Identity,Working with a hardware security module (HSM),Azure Foundation: Key Vault,How to generate and transfer HSM-protected keys for Azure Key Vault,As Required,,,,,https://docs.microsoft.com/en-us/azure/key-vault/key-vault-hsm-protected-keys
Azure Security & Identity,Delete the key vault and associated keys and secrets,Azure Foundation: Key Vault,How to Delete  a key in Azure Key Vault,As Required,,,,,https://docs.microsoft.com/en-us/rest/api/keyvault/deletekey/deletekey
Azure Security & Identity,Azure Key Vault Logging,Azure Foundation: Key Vault,How to use Key Vault logging,As Required,,,,,https://docs.microsoft.com/en-us/azure/key-vault/key-vault-logging
Azure Security & Identity,Implement Azure Disk Encryption,Azure Foundation: Key Vault,How to implement Azure Disk Encryption,As Required,,,,,https://docs.microsoft.com/en-us/azure/security/azure-security-disk-encryption-overview
Azure Security & Identity,Audit Key Vault access,Azure Foundation: Key Vault,Use Azure Policies to create access policies to Key Vault,Bi-Annually ,,,,,https://docs.microsoft.com/en-us/azure/key-vault/key-vault-secure-your-key-vault#data-plane-and-access-policies
Azure Security & Identity,Manage Privileged AAD Roles with Privileged Identity Management (PIM),Azure Foundation: Entra ID (AAD),Manage AAD roles using PIM,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/privileged-identity-management/pim-how-to-add-role-to-user?tabs=previous
Azure Security & Identity,Manage users in Privileged Roles in AAD,Azure Foundation: Entra ID (AAD),Manage users in PIM and AAD,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/privileged-identity-management/pim-how-to-add-role-to-user?tabs=previous
Azure Security & Identity,Manage Privileged Roles in Subscriptions via RBAC,Azure Foundation: Entra ID (AAD),How to Add or remove role assignments using Azure RBAC and the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/role-based-access-control/role-assignments-portal
Azure Security & Identity,Manage users in Privileged Roles in Subscriptions,Azure Foundation: Entra ID (AAD),How to Add or change Azure subscription administrators,As Required,,,,,https://docs.microsoft.com/en-us/azure/billing/billing-add-change-azure-subscription-administrator
Azure Security & Identity,Manage access to Azure management with conditional access,Azure Foundation: Entra ID (AAD),Conditional Access in Entra ID (Azure AD) controls access to cloud apps based on specific conditions that you specify.,As Required,,,,,https://docs.microsoft.com/en-us/azure/role-based-access-control/conditional-access-azure-management
Azure Security & Identity,Manage emergency-access administrative accounts in Azure AD,Azure Foundation: Entra ID (AAD),An organization might need to use an emergency access account in different scenarios.,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/users-groups-roles/directory-emergency-access
Azure Security & Identity,Add a custom domain name to Entra ID,Azure Foundation: Entra ID (AAD),How to add your custom domain name using the Entra ID portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/add-custom-domain
